path_x0,path_y0,path_distance00,path_x01,path_y01,path_distance01,path_x02,path_y02,path_distance02,path_x03,path_y03,path_distance03,path_x04,path_y04,path_distance04,path_x05,path_y05,path_distance05,path_x06,path_y06,path_distance06,path_x07,path_y07,path_distance07,path_x08,path_y08,path_distance08,path_x09,path_y09,path_distance09,path_x1,path_y1,path_distance1
-73.15483981,0,2.68142E-05,-74.77979666,0.133041168,0.034711699,-74.85027518,-0.197268936,-0.037356663,-74.83365976,-0.450739239,-0.079977845,-74.92303754,-0.797861634,-0.08204726,-74.94144962,-1.156414471,-0.080362653,-74.94992902,-1.426741669,-0.083073319,-74.88114678,-1.767700559,-0.09263911,-74.95064194,-2.072513066,-0.102348954,-75.01136637,-2.279593699,-0.107848657,-74.95609581,-2.583276731,-0.118442449
-73.49232912,0,2.82069E-05,-75.13005066,0.133255827,0.035024538,-75.20226379,-0.198558637,-0.037367025,-75.18653752,-0.453346195,-0.079995963,-75.27628329,-0.802026753,-0.082301177,-75.2939745,-1.162044252,-0.080823975,-75.30418479,-1.433774978,-0.083533379,-75.23517541,-1.776248084,-0.093193179,-75.30502966,-2.082577515,-0.102905354,-75.36697642,-2.290780182,-0.108424,-75.3116684,-2.595935976,-0.119053527
-73.82882191,0,2.95286E-05,-75.47931934,0.133455993,0.035323759,-75.55325575,-0.199860099,-0.037361685,-75.5384209,-0.455960911,-0.079985255,-75.62852949,-0.806196161,-0.082517427,-75.64550304,-1.16766548,-0.081246042,-75.65744316,-1.440803095,-0.083944244,-75.58820652,-1.784779838,-0.093693636,-75.65842397,-2.092627902,-0.103395911,-75.72159612,-2.301949718,-0.108932096,-75.66625465,-2.60857413,-0.119589977
-74.16431869,0,3.07762E-05,-75.82760288,0.13364055,0.035609594,-75.90324965,-0.201173344,-0.03734126,-75.88930596,-0.458582722,-0.079947062,-75.97977956,-0.810367508,-0.082698869,-75.99603842,-1.173276428,-0.081630902,-76.00970939,-1.447825951,-0.084306347,-75.94024206,-1.793293228,-0.094143429,-76.01083132,-2.102665207,-0.10382017,-76.07521809,-2.313104797,-0.10937083,-76.01985869,-2.621193221,-0.120050448
-74.49882034,0,3.19474E-05,-76.17490417,0.13381216,0.035878429,-76.25224875,-0.202497097,-0.037307709,-76.23919585,-0.461209057,-0.079884803,-76.33003655,-0.814543276,-0.082843578,-76.34558005,-1.178878028,-0.081977925,-76.36097805,-1.454845253,-0.084618185,-76.29128382,-1.801788597,-0.094542593,-76.36224515,-2.11269006,-0.1041777,-76.42784562,-2.324242434,-0.109743957,-76.37247335,-2.633792068,-0.120436425
-74.83232759,0,3.30401E-05,-76.52122194,0.133969388,0.036130691,-76.60025211,-0.203833443,-0.037259635,-76.58809498,-0.463844919,-0.079794421,-76.67929624,-0.81872144,-0.082954121,-76.69412995,-1.184472253,-0.082285547,-76.71125111,-1.461858515,-0.08488267,-76.64133062,-1.810268458,-0.094888974,-76.71266794,-2.122700506,-0.104470974,-76.77948201,-2.335364546,-0.110050398,-76.7241055,-2.646370261,-0.120749196
-75.16484105,0,3.40531E-05,-76.86656024,0.134106304,0.036371248,-76.94726208,-0.2051783,-0.037201847,-76.93599936,-0.466491725,-0.079675467,-77.0275643,-0.822902765,-0.083030475,-77.04169223,-1.190064462,-0.082548927,-77.06053048,-1.468867877,-0.085098192,-76.9903878,-1.818736497,-0.095179463,-77.0621019,-2.132699229,-0.104697916,-77.13012086,-2.346469872,-0.110292007,-77.07474713,-2.658929315,-0.120987715
-75.49636171,0,3.49855E-05,-77.2109198,0.134222195,0.036599692,-77.29328064,-0.206532425,-0.037134358,-77.28291724,-0.469153981,-0.079524568,-77.37483565,-0.827088098,-0.083072488,-77.3882626,-1.19565738,-0.082765809,-77.4088111,-1.475871547,-0.08526705,-77.33845017,-1.827198299,-0.095408856,-77.41054055,-2.142683318,-0.104861914,-77.47976985,-2.357557994,-0.110470317,-77.42440196,-2.671466759,-0.121155508
-75.82689032,0,3.5837E-05,-77.55430126,0.134313404,0.03681851,-77.63830683,-0.207898817,-0.037054975,-77.62884259,-0.47183349,-0.079341028,-77.72111276,-0.831274466,-0.083084016,-77.73384452,-1.201249111,-0.082938765,-77.75609847,-1.482869426,-0.085390164,-77.68552248,-1.835650988,-0.09558071,-77.75799037,-2.152653805,-0.104962885,-77.82842303,-2.36863101,-0.110583987,-77.77307378,-2.683984694,-0.1212517
-76.15642735,0,3.66079E-05,-77.89671004,0.134381612,0.03702477,-77.98234284,-0.209279465,-0.036962579,-77.97378135,-0.474526305,-0.079130064,-78.06639747,-0.835462731,-0.083065169,-78.0784411,-1.206841259,-0.083066956,-78.10238778,-1.489863071,-0.085466689,-78.03160939,-1.844095191,-0.095695114,-78.10444538,-2.162611111,-0.105001082,-78.17608461,-2.3796866,-0.110636487,-78.12075573,-2.696481483,-0.121278923
